judul;tanggal;isi_berita
[POPULER MONEY] Lowongan di BUMN| Gaji Baru Polisi |10 Orang Terkaya Sepanjang Masa;2019-03-19;"1. Pendaftaran 11.000  Lowongan Kerja  BUMN Diperpanjang hingga 24 Maret 2019
Pendaftaran program pembukaan  lowongan kerja oleh 110 badan usaha milik negara ( BUMN) diperpanjang hingga 24 Maret 2019. Seharusnya, pendaftaran lowongan kerja ini dibuka mulai 8 Maret hingga 17 Maret 2019.
Sebelumnya, Menteri BUMN Rini Soemarno mengatakan, program rekrutmen bersama BUMN yang baru dilaksanakan tahun ini terbuka untuk 11.000 posisi di 110 perusahaan BUMN.
Nah Anda tertarik? Baca berita selengkapnya di sini
Baca juga: Catat, Ini Tahapan Program Rekrutmen BUMN 2019"
San Miguel Disebut-sebut Bakal Beli Saham PT Delta Jakarta, Bagaimana Rekomendasinya?;2019-03-19;"Polemik soal penjualan  saham PT Delta Jakarta Tbk (DLTA) oleh Pemerintah Provinsi (Pemprov) DKI Jakarta terus bergulir. Bahkan rumor teranyar adalah  San Miguel Malaysia Private Limited berpeluang besar membeli sekitar 27 persen saham DLTA milik Pemprov DKI.
Dari info yang diperoleh Kontan.co.id, San Miguel ditunjuk sebagai pembeli utama DLTA. Kabarnya, Pemprov DKI Jakarta meminta harga DLTA dengan Price to Book Value (PBV) Sebesar 5 kali, dari saat ini yang sebesar 4,5 kali.
Jika terlaksana, San Miguel akan memiliki 85 persen saham DLTA. Berdasarkan data RTI, saat ini kepemilikan saham San Miguel di DLTA sebesar 467,06 juta saham atau setara 58,33% atas modal yang ditempatkan dan disetor.
Baca juga: Rencana Pemprov DKI Lepas Saham Bir Menyeruak Lagi, Ini Kata PT Delta Djakarta
Ronny Titiheruw Direktur Pemasaran DLTA ketika dihubungi menolak untuk memberikan komentar. Begitupun dengan Sekretaris Badan Pembinaan BUMD DKI Jakarta Riyadi juga menolak untuk berkomentar banyak.
""Maaf, saya tidak punya informasi terkait masalah ini,"" sebut Riyadi Senin (18/3/2019).
Rekomendasi
Terlepas dari itu, analis BCA Sekuritas mengungkapkan bahwa jika terbukti San Miguel yang memegang 85 persen kepemilikan DLTA, maka ada potensi untuk melakukan tender offer (TO) karena kepemilikannya sebesar 85 persen dan memiliki kemampuan untuk menentukan jalnnya bisnis DLTA, sesuia POJK 9/2018.
Selanjutnya Yaki mengungkapkan bahwa merujuk pada data Bloomberg, harga saham DLTA saat ini sebesar Rp 6.750 per saham yang mencerminkan PBV 4,61 kali. Maka, jika target PBV nya sebesar 5 kali maka harga sahamnya sekitar Rp7.300 hingga Rp 7.325 per saham.
""Cukup menarik bagi investor karena masih ada potensial upside sekitar 8 persen hingga 8,5 persen sehingga bisa untuk ditungu aksi korporasi ini untuk trading,"" ujarnya.
Selanjutnya jika untuk investasi, Yaki bilang, sebenarnya saham emiten ini menarik karena marginnya cukup tebal dengan gross margin di atas 65 persen dan net margin masih di atas 30 persen.
""Namun, untuk trading saham ini kurang likuid sehingga susah untuk daily trade,"" tambah dia.
Ia pun merekomendasikan beli saham DLTA dengan target harga di jangka pendek atau buy on wekaness di range Rp 6.400 hingga Rp 6.500 per saham. Sementara untuk target harga saham DLTA di jangka menengah berada pada level Rp 6.900 hingga Rp 7.200 per saham.
""Harga tersebut masih realistis jika Pemprov DKI jadi lepas dengan target PBV 5 kali. Sedangkan kalau mau trading, sebaiknya tunggu kejelasan divestasi saham DLTA dari Pemda saja,"" kata dia.
Baca juga: 5 Perusahaan Bir Tertua di Dunia yang Kini Masih Beroperasi
Analis Panin Sekuritas William Hartanto juga berpendapat bahwa jika nanti sebagian besar saham DLTA jadi diakuisisi oleh San Miguel, maka transaksinya bisa dengan skema tender offer dan bisa juga langsung di pasar melalui pasar nego.
Sementara soal dampak akuisisi ini ke depan bagi investor, William bilang akan membuat saham DLTA makin tak likuid. ""Saya lihat akan buat saham ini semakin tak likuid saja karena semakin sedikit jatah publik,"" papar dia.
Meskipun demikian, ia tetap merekomendasikan untuk koleksi saham DLTA. ""Terlepas dari adanya rencana Pemda DKI menjual saham DLTA, tapi saham ini tetap menarik karena kenaikan yang stabil dan yield dari dividen yang besar,"" lanjutnya.
Maka ia tetap merekomendasikan beli saham DLTA dengan target harga di jangka panjang.
""Masih layak dikoleksi dengan target harga di level Rp 7.000-Rp 8.000 untuk jangka panjang, dan pertimbangannya karena likuiditas saham ini kecil,"" tutup dia. (Krisantus de Rosari Binsasi)
Berita ini telah tayang di Kontan.co.id dengan judul San Miguel dikabarkan bakal beli saham DLTA dari Pemprov DKI, ini rekomendasi analis"
Aturan Ojek Online Akhirnya Terbit;2019-03-19;"JAKARTA, KOMPAS.com — Direktur Jenderal Perhubungan Darat Kementerian Perhubungan Budi Setiadi mengatakan, aturan soal ojek dalam jaringan (online) sudah terbit dan akan disosialisasikan kepada para pengendara ojek.
Aturan tersebut diundangkan melalui Peraturan Menteri Perhubungan Nomor 12 Tahun 2019 tentang Perlindungan Keselamatan Pengguna Sepeda Motor yang Digunakan untuk Kepentingan Masyarakat.
""Peraturan menteri untuk masalah ojol (ojek online) sudah keluar,"" kata dia seusai rapat kerja dengan Komisi V DPR di Kompleks Parlemen Senayan, Jakarta, Senin (18/3/2019).
Budi menyebutkan, aturan tersebut telah resmi diterbitkan pada pekan lalu. Meski demikian, masalah tarif masih terus difinalisasi karena belum mencapai titik temu di antara pemerintah, aplikator, dan mitra pengemudi.
Baca juga: Peraturan Baru Ojek Online: Driver Harus Pakai Sepatu dan Plat Nomor Sesuai di Aplikasi
Ia mengatakan nanti masalah tarif akan dievaluasi setiap tiga bulan. Kendati demikian, hingga saat ini finalisasi soal tarif terus dilakukan.
""Paling cepat Kamis (21/3/2019), paling lambat Jumat (pekan ini),"" tuturnya.
Menteri Perhubungan  Budi Karya Sumadi, dalam kesempatan yang sama, mengatakan pemerintah telah melakukan upaya persuasif terkait penentuan tarif ojek daring agar bisa diterima semua pihak.
Budi menyebut besaran tarif yang diusulkan mitra pengemudi Rp 3.000 per km dikhawatirkan akan memberatkan pengguna.
""Oleh karenanya, saya usulkan in between (di antara), yaitu Rp 2.400 per km, sebagai angka usulan,"" katanya.
Baca juga: Peraturan Baru Ojek Online, Driver Dilarang Mangkal Sembarangan"
Ini Rencana Pemerintah Sediakan Listrik untuk 10 Tahun Mendatang;2019-03-18;"Pemerintah telah menetapkan rencana penyediaan tenaga listrik untuk sepuluh tahun mendatang melalui PT Perusahaan Listrik Negara (Persero) atau  PLN.
Rencanan jangka panjang itu tertuang dalam peta jalan Rencana Umum Penyediaan Tenaga Listrik (RUPTL) PT PLN 2019-2028.
Direktur Perencanaan Korporat PT PLN (Persero), Syofvi Felienty Roekman, mengatakan, RUPTL merupakan pedoman pengembangan sistem ketenagalistrikan untuk sepuluh tahun ke depan.
""PLN sendiri, secara alamiah membutuhkan rencana pengembangan ketenagalistrikan jangka panjang untuk memenuhi dan mengantisipasi kebutuhan atau permintaan tenaga listrik,"" kata Syofvi dalam Diseminasi Rencana Usaha Penyediaan Tenaga Listrik (RUPTL) PT PLN (Persero) tahun 2019-2028 di kantor Pusat PLN, Jakarta, Senin (18/3/2018).
Syofvi menjelaskan, dalam penyediaan tenaga listrik itu dibutuhkan pembangunan-pembangunan infrasruktur yang pengerjaannya memiliki batas waktu. Melalui perencanaan itu diharapkan ada rencana investasi yang efisien dan optimal.
PLN kini telah merencanakan pembangunan infrastruktur utama ketenagalistrikan itu.
""Total pembangkit tenaga listrik sebesar 56.395 MW,"" sebutnya.
Selain pembangkit listrik, juga akan digarap sejumlah infrastruktur pendukukung lain, berupa jaringan transmisi, gardu induk, jaringan distribusi, dan rencana lain.
Dia mengungkapkan, penyusunan RUPTL 2019-2028 ini berlandaskan hasil kajian terhadap dokumen RUPTL PT PLN (Persero) tahun 2018-2027.
Ini setelah memperhatikan realisasi dari kebutuhan tenaga listrik serta kondisi lain yang mempengaruhi.
""Seperti pertumbuhan ekonomi, inflasi, serta terpenuhinya target rasio elektrifikasi,"" ungkapnya."
"CPO ""Dikerjai"", Negosiasi Dagang dengan Uni Eropa Dihentikan?";2019-03-18;"Pemerintah menolak keras draft Delegeted Act dari Komisi Eropa yang mengklasifikasikan minyak  kelapa sawit sebagai komoditas tidak berkelanjutan dan berisiko tinggi.
Pemerintah bahkan menyebut Delegeted Act sebagai bentuk diskriminasi terhadap minyak kelapa sawit. Sebab perlakukan sama tidak berlaku kepada minyak nabati lainnya.
Direktur Jenderal Perundingan Perdagangan Internasional (PPI) Kementerian Perdagangan, Iman Pambagyo mengatakan, pihaknya sedang mengkaji ulang negosiasi dagang dengan  Uni Eropa (Indonesia-EU CEPA).
""Tahun lalu ekspor kita ke Uni Eropa 17,2 miliar dollar AS, tetapi kalau bicara mengenai kelapa sawit, kita bicara 17 juta tenaga kerja,"" kata dia dalam konferensi pers di Jakarta, Senin (18/3/2019).
Sementara itu, Direktur Perdagangan, Komoditas, dan Kekayaan Intelektual, Kementerian Luar Negeri Tri Purnajaya memastikan, sikap keras Indonesia sudah didukung oleh organisasi negara-negara Asia Tenggara (ASEAN).
""Sikap Indonesia sudah didukung oleh ASEAN, dibuktikan dengan sikap ASEAN menunda kemitraan dengan Uni Eropa yang merupakan bentuk solidaritas kepada Indonesia terkait kelapa sawit,"" ujarnya
Di tempat yang sama, Menko Perekonomian Darmin Nasution mengatakan, dukungan ASEAN muncul setelah Presiden Joko Widodo mengangkat isu diskriminasi minyak kelapa sawit oleh Uni Eropa pada pertemuan pemimpin ASEAN.
Isu itu disambut dukungan oleh Perdana Menteri Malaysia Mahathir Mohamad. Seperti diketahui, Malaysia juga merupakan produsen kelapa sawit.
""Lalu disepakati oleh ASEAN sebagai asosiasi akan bekerja bersama-sama kita untuk tentu saja mendukung negara-negara penghasil CPO yang diperlakukan tidak adil,"" kata Darmin.
Rencana dalam dua bulan ke depan, parlemen Uni Eropa akan mengambil keputusan terkait Delegeted Act. Bila Delegeted Act berlaku, maka ekspor CPO ke Eropa dipastikan akan terempas."
Begini Cara Pemerintah Tingkatkan Daya Pembangkit Listrik di Tanah Air;2019-03-18;"Persoalan akses listrik sejauh ini masih jadi tantangan besar bagi pemerintah, termasuk PT Perusahaan Listrik Negara (Persero). Apalagi, tahun lalu realisasi rasio elektrifikasi baru mencapai sekitar 98,3 persen.
Terkait soal ini, pemerintah punya rencana besar untuk meningkatkan daya  pembangkit listrik, sehingga masyarakat yang tersambung listrik bisa merata dan menyeluruh di Tanah Air.
Seperti apa rencana itu?
Menteri Energi dan Sumber Daya Mineral (ESDM) Ignasius Jonan, mengatakan, pemerintah punya rencana untuk meningkatkan daya pembangkit listrik dari energi baru dan terbarukan ( EBT) untuk beberapa tahun mendatang.
Baca juga: Kapan Proyek Pembangkit Listrik 35.000 MW Rampung? Ini Kata Jonan
Hal ini ia ungkapkan dalam acara Diseminasi Rencana Usaha Penyediaan Tenaga Listrik (RUPTL)  PLN 2019-2028 di Kantor Pusat PLN, Jakarta, Senin (18/3/2019).
Jonan mengatakan, pemerintah telah menetapkan EBT sebesar 23 persen pada 2025 mendatang dan angka ini jadi tantangan. Sebab, capaian atau porsi EBT saat ini baru sekitar 13 persen.
""Alhamdulilah, pemerintah menetapkan bauran energi EBT dalam kelistrikan dan transportasi, itu total 23 persen di 2025. Ini tantangan yang besar sekali,"" katanya.
Baca juga: Dengan Pembangkit Listrik Tenaga Gas, PLN Bisa Hemat Ongkos Produksi
Dia menerangkan, guna mempercepat penggunaan EBT itu, maka pemerintah mengambil langkah baru supaya pembangunan pembangkit listrik EBT tidak lagi dimasukkan dalam RUPTL tahun ini. Sehingga dapat lebih cepat dan fleksibel prosesnya.
""Kalau memang dibutuhkan dan sistemnya menerima, silakan PLN dengan pengembang mendiskusikan rencana pembangunan renewable tanpa perlu RUPTL terlebih dahulu,"" sebut dia.
Dia menambahkan, meskipun pembangkit yang dimaksud tidak masuk dalam RUPTL tahun ini namun di masa mendatang harus dan tetap tercatat. Tentunya, apabila pembangunannya berjalan atau terealisasi.
""Itu bisa dibahas langsung kalau juga bisa dimasukkan di tahun berikutnya. Jadi ini tujuannya untuk mengejar bauran energi dalam kelistrikan minimal 23 persen dari EBT,"" jelasnya.
Baca juga: Ditanya soal Laba, Ini Jawaban Direksi PLN
Sebagai perusahaan Badan Usaha Milik Negara (BUMN), Jonan berharap PLN dapat terus berinovasi dalam mengembangkan kapasitasnya. Sehingga, inovasi-inovasi yang dihadirkan dapat dirasakan masyarakat, khususnya di bidang ketenagalistrikan."
Dirut Pertamina Komentari soal Truk Tangki yang Sempat Dibajak;2019-03-18;"Direktur Utama PT  Pertamina (Persero), Nicke Widyawati mengomentari terkait pembajak mobil tangki BBM milik perusahaannya. Namun, ia membantah jika para pelaku tersebut adalah pegawai Pertamina.
""Bukan pegawai Pertamina itu, itu kaitannya dengan AMT (Awak Mobil Tangki) yang dulu itu. Pegawai outsourcing dari Patra Niaga,"" kata Nicke ditemui di Kantor PLN Pusat, Jakarta, Senin (18/3/2019).
Nicke menegaskan, para pelaku pembajakan itu adalah pihak luar dan bukan pekerja atau bagian dari Pertamina. Ia juga mengakui belum mendapat informasi lanjutan terkait insiden pembajakan dua unit mobil tangki bermuatan BBM tersebut.
Baca juga: Dua Truk Tangki Pertamina Dibajak, Dibawa ke Area Unjuk Rasa di Monas
""Itu dari pihak luar. (Apakah sudah selesai) saya malah belum dapat update-nya. Belum tahu tuntutannya,"" tuturnya.
Menurut dia, setiap kejadian yang dialami pekerja maupun terkait operasional Pertamina, sudah ada mekanisme yang diatur dengan jelas. Baik pencegahan maupun pengamanannya, sehingga tidak perlu dikhawatirkan.
""Sudah ada kan, prosedur dari kita sendiri. Kalau itu (pembajakan) kan artinya sesuatu yang luar biasa juga dibajak di tengah-tengah jalan. Dan itu kita serahkan ke aparat hukum,"" sebutnya.
Baca juga: Pendemo Bajak 2 Truk Tangki Pertamina di Monas, Ini Kronologinya...
Nicke enggan mengungkapkan dan menjelaskan seperti apa prosedur yang dimaksud, apakah pencegahan dan pengamanan akan lebih ditingkatkan atau tidak.
""Sudah ada prosedurnya, terima kasih,"" lanjutnya singkat.
Diketahui, dua unit mobil tangki PT. Pertamina dibajak dan dilarikan orang tak dikenal (OTK) menuju Istana Negara, Jakarta, pada Senin (18/3/2019) pukul 05.00 WIB. Bahkan, kedua pengemudinya, Muslih bin Engkon dan Cepi Khaerul sempat diancam dan dipaksa turun.
Kini, mobil tangki Pertamina yang dibajak sekelompok orang dan dibawa ke depan Istana itu kini dalam penguasaan polisi."
Fitch Patok Predikat Investment Grade RI, Kemenkeu Nilai Bukti Ekonomi Stabil;2019-03-18;"Lembaga pemeringkat utang Fitch mengumumkan peringkat utang Indonesia tetap berada di posisi BBB dengan outlook stable pada 14 Maret 2019. Ini sekaligus menempatkan RI tetap berpredikat investment grade.
Kementerian Keuangan (Kemenkeu) menyampaikan, dalam laporannya Fitch menyatakan bahwa tingkat beban utang Indonesia yang rendah dan  pertumbuhan ekonomi yang baik menjadi faktor pendorong tercapainya peringkat utang tersebut.
""Beban utang Indonesia dibandingkan negara peers dinilai lebih aman dan sektor keuangan domestik dinilai berada dalam kondisi sehat,"" ujar Kepala Biro Komunikasi dan Layanan Informasi Nufransa Wira Sakti dalam siaran pers, Jakarta, Senin (18/3/2019).
Selain itu, kata dia, Fitch menyatakan Indonesia mempunyai potensi positif dari pengalihan tujuan investasi seiring kondisi perekonomian global dan kebijakan moneter Amerika Serikat.
Dari sisi fiskal, Indonesia dinilai menjalankan kebijakan yang baik dan tepat sehingga fiskal Indonesia sehat. Hal ini kata Nufransa ditandai dengan penurunan defisit APBN dari 2,51persen pada 2017 menjadi 1,76 persen pada 2018.
""Langkah Fitch mempertahankan peringkat utang Indonesia di posisi BBB dengan outlook stable tersebut menunjukkan bahwa perekonomian Indonesia tetap stabil di tengah pelemahan ekonomi global,"" kata Nufransa."
Ekonom Prediksi Pertumbuhan Ekonomi Kuartal I 2019 di Kisaran 4,95-5,05 Persen;2019-03-18;5,05%
Suka Duka Perawat Indonesia saat Bekerja di Jepang...;2019-03-18;" Bekerja di negeri orang kerap didambakan segelintir orang. Sebab,  bekerja di luar negeri dianggap bisa mendulang pundi-pundi uang dan memberikan pengalaman berbeda.
Hal tersebut pun dirasakan oleh para  perawat dan caregiver asal Indonesia yang sempat bekerja di  Jepang.
Salah satu perawat berinisal AW (32) menceritakan suka dukanya kepada Kompas.com saat bekerja sebagai perawat di negeri Sakura itu.
Baca juga: Jepang Butuh 47.550 Tenaga Kerja, Kemenperin Siap Pasok SDM dari Indonesia
Pria yang pernah bekerja di salah satu rumah sakit di Lombok, NTB itu mengaku mendapat pengalaman baru selama bekerja 4 tahun di Negeri Matahari Terbit tersebut.
“Enak ya, namanya juga negara maju dapat pengetahuan baru dari segi teknologi, budaya mereka, iklim kerja dan gaji lebih besar,” ujar AW di Jakarta, Senin (18/3/2019).
Aw mengatakan, orang Jepang sangat disiplin dengan waktu. Saat bekerja, para karyawan tak boleh bersantai-santai.
“Kalau masih jam kerja kita enggak boleh santai, tapi pas istirahat kita harus istirahat. Kerjanya 8 jam juga. Lima hari kerja,” kata AW.
Baca juga: Kemnaker Pastikan Indonesia Siap Pasok Tenaga Kerja ke Jepang
Selain itu, menjadi perawat di Jepang tak boleh melakukan tindakan medis seperti di Indonesia. Menurut pria yang pernah bekerja di sebuah rumah sakit di Osaka, Jepang itu hanya dokter yang dibolehkan mengambil tindakan medis.
“Misalnya menjahit luka, itu dokter yang melakukan. Kalau di sini kan, perawat punya keahlian itu. Di sana itu enggak boleh perawat lakuin tindakan medis,” ucap dia.
Kendati begitu, menurut AW, orang Jepang sangat suka dengan perawat ataupun caregiver asal Indonesia. Sebab, para tenaga kerja asal Indonesia mempunyai kemampuan lebih dibanding perawat asal Jepang.
Proses adaptasi
AW mengaku pada awalnya kesulitan beradaptasi di Jepang. Bahasa yang menjadi kendala utama untuk bersosialisasi dengan masyarakat Jepang.
Namun, lambat laun dia mulai bisa beradaptasi. Alhasil, dia mampu bergaul dengan penduduk asli Jepang.
“Kalau kita welcome mereka welcome. Tapi ada juga yang enggak welcome dan enggak ramah. Di mana-mana kan ada juga kayak gitu,” ujar AW.
Baca juga: Jepang Dilanda Kekurangan Tenaga Kerja
Senada dengan AW, Yayu juga mengaku pada awalnya kesulitan bersosialisasi dengan orang Jepang.
Dia sempat beranggapan orang Jepang sangat tertutup. Akan tetapi, setelah lama tinggal di sana dia baru mengetahui bagaimana kepribadian orang Jepang.
“Mulanya saya berpandangan orang Jepang itu tertutup, kurang mau sosialisasi, tapi ternyata mereka mau terbuka kalau mereka trust pada kita,” kata Yayu.
Baca juga: Dalam 5 Tahun, Jepang Bakal Kebanjiran 345.000 Pekerja Asing
AW dan Yayu merupakan perawat dan caregiver asal Indonesia yang mengikuti program kerja sama antara pemerintah Indonesia dengan Jepang. Program tersebut telah bergulir sejak 2008 lalu.
Melalui program tersebut, pemerintah Jepang akan memperkerjakan perawat dan cargiver asal Indonesia di beberapa rumah sakit yang ada di sana.
Sejak 2008 lalu, sebanyak 2.116 perawat dan caregiver asal Indonesia telah merasakan bekerja di Jepang."
Mandiri Utama Finance Targetkan Pembiayaan hingga Rp 8,1 Triliun;2019-03-18;"Anak perusahaan PT Bank Mandiri Persero Tbk (Kompas100: BMRI), PT Mandiri Utama Finance (MUF) menargetkan akan menyalurkan  pembiayaan atau kredit hingga Rp 8,1 triliun tahun ini.
Angka tersebut meningkat 8,3 persen secara tahunan (yoy) jika dibandingkan dengan total penyaluran pembiayaan tahun lalu yang mencapai Rp 7,4 triliun.
Direktur Utama MUF Stanley Setia Atmadja menjelaskan, target pertumbuhan yang tak begitu agresif lantaran MUF saat ini tengah berupaya untuk lebih memperkuat organisasi perusahaan juga memperhatikan dampak pemilihan umum terhadap indusri pembiayaan secara keseluruhan.
Baca juga: Bank Mandiri dan Mandiri Utama Finance Luncurkan Mandiri Kredit Motor
""Kita nggak mau terlalu muluk-muluk, cabang juga sedang kita siapkan untuk intensifikasi jadi produktivitas kita naikkan, kita lakukan training,"" ujar Stanley di Jakarta, Senin (18/3/2019).
Salah satu upaya MUF untuk menggenjot penyaluran pembiayaan tahun ini adalah dengan memperluas pasar yang tadinya hanya melakukan pembiayaan untuk produk-produk bekas, kini merambah ke pasar  kendaraan bekas.
Stanley mengatakan, hingga bulan Februari 2019 ini, MUF telah menyalurkan pembiayaan mencapai Rp 1 triliun. Realisasi penyaluran kredit tersebut berasal dari segmen kendaraan roda dua sebesar 26 persen, sementara mobil hingga 74 persen.
Baca juga: Ini Syarat Perusahaan Multifinance yang Bisa Beri DP 0 Persen untuk Kredit Kendaraan
Sementara untuk produk bekas, untuk segmen mobil memiliki proporsi produk mobil bekas dan baru sebesar masing-masing 50 persen. Hal yang sama berlaku untuk segmen motor.
Tahun ini, MUF pun tengah berupaya untuk memperkuat penyaluran kredit di segmen kendaraan roda dua.
""Kita inginnya 50 banding 50 (porsi penyaluran kredit antara mobil dan motor), karena di motor mungkin margin lebih bagus, sementara di mobil size lebih cepat naik,"" ujar Stanley."
Janji Selesaikan Defisit BPJS Kesehatan, Mengapa Sandiaga Butuh 200 Hari?;2019-03-18;"Calon Wakil Presiden nomor urut 02  Sandiaga Uno menjanjikan menyelesaikan persoalan defisit  BPJS Kesehatan dalam tempo 200 hari bila menang Pilpres 2019.
Hal itu ia sampaikan dalam  debat cawapres pada Minggu (17/3/2019) di Hotel Sultan, Jakarta.
Menurut Anggota Dewan Pakar Badan Pemenangan Nasional (BPN) Prabowo Subianto-Sandiaga Uno Drajad Wibowo, Sandiaga sudah memiliki perhitungan mengapa butuh waktu 200 hari untuk selesaikan persoalan itu.
Baca juga: Sandiaga Janjikan Masalah BPJS Kesehatan Tuntas dalam 200 Hari
""Itu karena Prabowo-Sandi sudah punya garis besar solusinya,"" ujar kepada Kompas.com di Jakarta, Senin (18/3/2019).
""Akan ada reformasi signifikan dalam pembiayaan kesehatan, dengan komponen utama,"" sambung dia.
Reformasi tersebut akan terdiri dari 5 poin. Pertama, peraturan untuk mencegah adverse selection, moral hazard dan principal-agent problem yang terjadi dalam asuransi kesehatan dan pemberian layanan kesehatan.
Baca juga: BPN: Prabowo-Sandiaga Akan Evaluasi Menyeluruh BPJS Kesehatan
Kedua, Prabowo-Sandiaga, sebut Drajad, akan melakukan penyempurnaan peraturan asuransi kesehatan terkait BPJS Kesehatan. Ini mulai dari pengaturan keterkaitan antara premi dengan jaminan pelayanan kesehatan dasar hingga pengaturan premi dan benefits yang disesuaikan dengan gaya hidup dan risiko kesehatan.
Ketiga, akan dibuat pengaturan mengenai pembiayaan kesehatan dengan pembayaran sendiri. Hal ini lantaran banyak keluarga mampu yang memilih membayar sendiri dari pada memakai layanan BPJS Kesehatan.
""Namun banyak juga keluarga mampu yang berlebihan memakai layanan kesehatan elektif, yang dibebankan kepada BPJS Kesehatan,"" kata dia.
Baca juga: Menurut Timses, Ini Cara Sandiaga Tuntaskan Defisit Anggaran BPJS dalam 200 Hari
Keempat, akan menata ulang pembiayaan setiap jenis layanan kesehatan. Prabowo-Sandiaga kata dia, menyadari pelayanan dan alat-alat medis itu mahal.
Oleh karena itu, diskusi insentif dengan para dokter, rumah sakit, akademisi dinilai perlu dilakukan. Tujuannya agar peraturan yang dibuat selalu adil dan sesuai data terbaru.
Kelima, Prabowo-Sandiaga menjanjikan akan memberikan insentif pajak dan bea masuk untuk beberapa alat medis, kebijakan cukai, pembiayaan kesehatan provinsi dan kabupaten, dan berbagai bidang lain."
"Minyak Sawit ""Dikerjai"" Uni Eropa,  RI Ancam Bawa ke WTO";2019-03-18;"Pemerintah menyampaikan keberatan atas draf Delegeted Act dari Komisi Eropa yang mengklasifikasikan minyak  kelapa sawit sebagai komoditas tidak berkelanjutan dan berisiko tinggi.
Dalam waktu dua bulan paling lama, parlemen Uni Eropa akan mengambil keputusan terkait Delegeted Act tersebut apakah akan diadopsi atau tidak.
Namun Menteri Perekonomian Darmin Nasution menegaskan, pemerintah tak segan melaporkan persoalan ini World Trade Organization ( WTO) bila Uni Eropa benar-benar mengadopsi Delegeted Act tersebut.
""Karena ini tindakan diskriminatif dan mereka pihak yang selalu bicara multilateralisme. Kalau itu dilakukan, kami akan membawa ke WTO,"" ujarnya, dalam konferensi pers, Jakarta, Senin (18/3/2019).
Menurut Darmin, hal itu perlu dilakukan untuk membuktikan apakah Delegeted Act merupakan kebijakan yang adil atau justru bentuk dari proteksionisme yang dilakukan Uni Eropa kepada minyak kelapa sawit.
Pemerintah menilai Delegeted Act sebagai bentuk diskriminatif karena hanya menyasar minyak kelapa sawit. Sementara tindakan serupa tidak diperlakukan untuk minyak nabati lainnya.
Padahal, kata Darmin, minyak kelapa sawit memiliki sejumlah fakta yang harusnya jadi pertimbangan Uni Eropa. Misalnya produktivitas lahan yang ditanami kelapa sawit.
Ia mengatakan, dalam satu luas lahan yang sama, kelapa sawit bisa menghasilkan 8-10 kali lipat minyak nabati dibandingkan komoditas penghasil minyak nabati lainnya, contohnya bunga matahari.
Selain itu sejumlah negara produsen kelapa sawit juga melakukan replanting kelapa sawit dengan bibit yang berkualitas, memastikan perkebunan kelapa sawit memenuhi standar sustainable. Bahkan melalukan moratorium lahan.

Darmin mengatakan, ASEAN sudah memberikan dukungan kepada Indonesia, Malaysia dan negara produsen kelapa sawit untuk menentang perlakukan tidak adil dari Uni Eropa.

""Pemerintah menolak apa yang mau dilegalkan melalui delegated act karena menurut kita itu tindakan yang diskriminatif. kalau mau kita uji ya kita uji,"" kata dia."
Milenial, Ini Pentingnya Punya Asuransi;2019-03-18;"Begitu banyak perusahaan  asuransi di Indonesia tidak membuat semua orang paham akan pentingnya asuransi. Bahkan ada sebagian besar orang yang mengira asuransi sebagai ajang ""menakut-nakuti"".
Menurut CEO BCA Life Rio Winardi, asuransi sebenarnya bertujuan untuk menanggulagi resiko apapun yang mungkin bisa terjadi.
""Menjual atau menawarkan asuransi itu bukannya 'menakut-nakuti, tapi menyadarkan kita bahwa resiko itu pasti ada. Masalah dia mau ambil resiko atau tidak, itu tidak kita paksakan,"" ujar Rio Winardi, Senin (18/3/2019).
Rio menjelaskan tidak ada asuransi yang cocok untuk semua orang, khususnya  milenial. Hal ini karena pemilihan asuransi harus didasarkan oleh kebutuhan masing-masing.
Tanpa direkomendasikan, bila milenial sudah menyadari resiko yang akan terjadi, maka milenial akan mengambil asuransi yang disesuaikan dengan kebutuhannya dan memperkirakan biaya yang harus dikeluarkan setiap tahunnya.
""Misalnya milenial itu mempunyai mobil, maka mereka akan ambil asuransi mobil maupun asuransi kecelakaan diri. Dia juga akan memperkirakan berapa biaya yang harus keluar untuk asuransi dan resikonya,"" tutur Rio.
Menurut Rio, secara statistik industri asuransi jiwa di Indonesia akan tumbuh seiring kesadaran dan minat masyarakat tinggi. Oleh sebab itu, untuk menyadarkan minat masyarakat perlu diadakan asosiasi maupun seminar-seminar yang membahas pentingnya asuransi.
Bila pertumbuhan industri asuransi dan minat masyarakat meningkat, hal itu berpotensi membuat GDP (Gross Domestic Product) turut meningkat.

Pasalnya, menurut Rio, Indonesia telah mempunyai perusahaan asuransi jiwa yang berkontribusi besar di Asia, sehingga peningkatan GDP akan semakin berpotensi.

Lebih jauh, BCA Life juga terus mendukung pertumbuhan ekonomi Indonesia dengan berbagai inovasi asuransi yang ditawarkan sesuai dengan kebutuhan masyarakat Indonesia.
(Fika Nurul Ulya)"
